team,attendance,season,opponent,arena,city,state,game_type,team_abb,opponent_abb
Phoenix Mercury,7463,2001,Washington Mystics,US Airways Center,Phoenix,AZ,Regular season,PHO,WAS
Charlotte Sting,7007,2001,Seattle Storm,Spectrum Center,Charlotte,NC,Regular season,CHA,SEA
Los Angeles Sparks,7658,2001,Minnesota Lynx,Staples Center,Los Angeles,CA,Regular season,LAS,MIN
Indiana Fever,8364,2001,New York Liberty,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,NYL
Houston Comets,11036,2001,Cleveland Rockers,Compaq Center,Houston,TX,Regular season,HOU,CLE
Portland Fire,8759,2001,Utah Starzz,Moda Center,Portland,OR,Regular season,POR,UTA
Orlando Miracle,6870,2001,Detroit Shock,Amway Arena,Orlando,FL,Regular season,ORL,DET
New York Liberty,13791,2001,Indiana Fever,Madison Square Garden,New York,NY,Regular season,NYL,IND
Minnesota Lynx,5387,2001,Portland Fire,Target Center,Minneapolis,MN,Regular season,MIN,POR
Orlando Miracle,5363,2001,Miami Sol,Amway Arena,Orlando,FL,Regular season,ORL,MIA
Cleveland Rockers,7018,2001,Seattle Storm,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,SEA
Utah Starzz,7044,2001,Los Angeles Sparks,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,LAS
Sacramento Monarchs,7170,2001,Houston Comets,ARCO Arena,Sacramento,CA,Regular season,SAC,HOU
Indiana Fever,7025,2001,Cleveland Rockers,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,CLE
Washington Mystics,19093,2001,Detroit Shock,Verizon Center,Washington,DC,Regular season,WAS,DET
Phoenix Mercury,7649,2001,Los Angeles Sparks,US Airways Center,Phoenix,AZ,Regular season,PHO,LAS
New York Liberty,14176,2001,Seattle Storm,Madison Square Garden,New York,NY,Regular season,NYL,SEA
Sacramento Monarchs,7524,2001,Utah Starzz,ARCO Arena,Sacramento,CA,Regular season,SAC,UTA
Charlotte Sting,4317,2001,Orlando Miracle,Spectrum Center,Charlotte,NC,Regular season,CHA,ORL
Portland Fire,9059,2001,Houston Comets,Moda Center,Portland,OR,Regular season,POR,HOU
Indiana Fever,8770,2001,Orlando Miracle,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,ORL
Detroit Shock,6170,2001,Miami Sol,Palace of Auburn Hills,Detroit,MI,Regular season,DET,MIA
Cleveland Rockers,7564,2001,Phoenix Mercury,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,PHO
Seattle Storm,5026,2001,Houston Comets,KeyArena,Seattle,WA,Regular season,SEA,HOU
New York Liberty,15770,2001,Minnesota Lynx,Madison Square Garden,New York,NY,Regular season,NYL,MIN
Charlotte Sting,6066,2001,Indiana Fever,Spectrum Center,Charlotte,NC,Regular season,CHA,IND
Miami Sol,8398,2001,Detroit Shock,AmericanAirlines Arena,Miami,FL,Regular season,MIA,DET
Minnesota Lynx,6373,2001,Phoenix Mercury,Target Center,Minneapolis,MN,Regular season,MIN,PHO
Utah Starzz,5923,2001,Sacramento Monarchs,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,SAC
Washington Mystics,19093,2001,Los Angeles Sparks,Verizon Center,Washington,DC,Regular season,WAS,LAS
Eastern Conference All Stars,16906,2001,Western Conference All Stars,Amway Arena,Orlando,FL,All star,EST,WST
Indiana Fever,7347,2001,Utah Starzz,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,UTA
Detroit Shock,13378,2001,New York Liberty,Palace of Auburn Hills,Detroit,MI,Regular season,DET,NYL
Miami Sol,6796,2001,Charlotte Sting,AmericanAirlines Arena,Miami,FL,Regular season,MIA,CHA
Orlando Miracle,6170,2001,Houston Comets,Amway Arena,Orlando,FL,Regular season,ORL,HOU
Minnesota Lynx,5627,2001,Seattle Storm,Target Center,Minneapolis,MN,Regular season,MIN,SEA
Phoenix Mercury,8232,2001,Portland Fire,US Airways Center,Phoenix,AZ,Regular season,PHO,POR
Cleveland Rockers,10121,2001,New York Liberty,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,NYL
Sacramento Monarchs,8364,2001,Los Angeles Sparks,ARCO Arena,Sacramento,CA,Regular season,SAC,LAS
Indiana Fever,7493,2001,Washington Mystics,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,WAS
Miami Sol,8021,2001,Houston Comets,AmericanAirlines Arena,Miami,FL,Regular season,MIA,HOU
Seattle Storm,9232,2001,Portland Fire,KeyArena,Seattle,WA,Regular season,SEA,POR
Charlotte Sting,5318,2001,Orlando Miracle,Spectrum Center,Charlotte,NC,Regular season,CHA,ORL
Los Angeles Sparks,11519,2001,Seattle Storm,Staples Center,Los Angeles,CA,Regular season,LAS,SEA
Phoenix Mercury,8378,2001,Utah Starzz,US Airways Center,Phoenix,AZ,Regular season,PHO,UTA
Cleveland Rockers,8035,2001,Charlotte Sting,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,CHA
Sacramento Monarchs,9365,2001,Detroit Shock,ARCO Arena,Sacramento,CA,Regular season,SAC,DET
Orlando Miracle,7574,2001,Minnesota Lynx,Amway Arena,Orlando,FL,Regular season,ORL,MIN
Washington Mystics,16021,2001,Indiana Fever,Verizon Center,Washington,DC,Regular season,WAS,IND
Portland Fire,7626,2001,Detroit Shock,Moda Center,Portland,OR,Regular season,POR,DET
New York Liberty,18132,2001,Miami Sol,Madison Square Garden,New York,NY,Regular season,NYL,MIA
Minnesota Lynx,7352,2001,Houston Comets,Target Center,Minneapolis,MN,Regular season,MIN,HOU
Orlando Miracle,5878,2001,Washington Mystics,Amway Arena,Orlando,FL,Regular season,ORL,WAS
Houston Comets,12177,2001,Utah Starzz,Compaq Center,Houston,TX,Regular season,HOU,UTA
Charlotte Sting,4360,2001,Indiana Fever,Spectrum Center,Charlotte,NC,Regular season,CHA,IND
Portland Fire,8038,2001,New York Liberty,Moda Center,Portland,OR,Regular season,POR,NYL
Seattle Storm,4323,2001,Detroit Shock,KeyArena,Seattle,WA,Regular season,SEA,DET
Los Angeles Sparks,11819,2001,Sacramento Monarchs,Staples Center,Los Angeles,CA,Regular season,LAS,SAC
Cleveland Rockers,13387,2001,Miami Sol,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,MIA
Utah Starzz,6463,2001,New York Liberty,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,NYL
Charlotte Sting,7896,2001,Washington Mystics,Spectrum Center,Charlotte,NC,Regular season,CHA,WAS
Phoenix Mercury,8508,2001,Detroit Shock,US Airways Center,Phoenix,AZ,Regular season,PHO,DET
Cleveland Rockers,9981,2001,Indiana Fever,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,IND
Minnesota Lynx,8979,2001,Washington Mystics,Target Center,Minneapolis,MN,Regular season,MIN,WAS
Sacramento Monarchs,7571,2001,Portland Fire,ARCO Arena,Sacramento,CA,Regular season,SAC,POR
Miami Sol,9052,2001,Orlando Miracle,AmericanAirlines Arena,Miami,FL,Regular season,MIA,ORL
Seattle Storm,5278,2001,Phoenix Mercury,KeyArena,Seattle,WA,Regular season,SEA,PHO
Utah Starzz,7808,2001,Minnesota Lynx,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,MIN
Indiana Fever,10871,2001,Miami Sol,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,MIA
Houston Comets,14566,2001,New York Liberty,Compaq Center,Houston,TX,Regular season,HOU,NYL
Portland Fire,10120,2001,Los Angeles Sparks,Moda Center,Portland,OR,Regular season,POR,LAS
Detroit Shock,7775,2001,Cleveland Rockers,Palace of Auburn Hills,Detroit,MI,Regular season,DET,CLE
Detroit Shock,4763,2001,Orlando Miracle,Palace of Auburn Hills,Detroit,MI,Regular season,DET,ORL
Sacramento Monarchs,7768,2001,Phoenix Mercury,ARCO Arena,Sacramento,CA,Regular season,SAC,PHO
Washington Mystics,14914,2001,Charlotte Sting,Verizon Center,Washington,DC,Regular season,WAS,CHA
Cleveland Rockers,10043,2001,Orlando Miracle,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,ORL
Houston Comets,12573,2001,Seattle Storm,Compaq Center,Houston,TX,Regular season,HOU,SEA
Los Angeles Sparks,8637,2001,Minnesota Lynx,Staples Center,Los Angeles,CA,Regular season,LAS,MIN
Portland Fire,7905,2001,Utah Starzz,Moda Center,Portland,OR,Regular season,POR,UTA
Charlotte Sting,7064,2001,Miami Sol,Spectrum Center,Charlotte,NC,Regular season,CHA,MIA
Houston Comets,9551,2001,Utah Starzz,Compaq Center,Houston,TX,Regular season,HOU,UTA
New York Liberty,15223,2001,Detroit Shock,Madison Square Garden,New York,NY,Regular season,NYL,DET
Orlando Miracle,6134,2001,Portland Fire,Amway Arena,Orlando,FL,Regular season,ORL,POR
Indiana Fever,11142,2001,Washington Mystics,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,WAS
Phoenix Mercury,8927,2001,Minnesota Lynx,US Airways Center,Phoenix,AZ,Regular season,PHO,MIN
Los Angeles Sparks,8554,2001,Sacramento Monarchs,Staples Center,Los Angeles,CA,Regular season,LAS,SAC
Washington Mystics,15532,2001,Portland Fire,Verizon Center,Washington,DC,Regular season,WAS,POR
Miami Sol,9011,2001,Phoenix Mercury,AmericanAirlines Arena,Miami,FL,Regular season,MIA,PHO
Minnesota Lynx,7494,2001,Charlotte Sting,Target Center,Minneapolis,MN,Regular season,MIN,CHA
Houston Comets,11180,2001,Orlando Miracle,Compaq Center,Houston,TX,Regular season,HOU,ORL
Sacramento Monarchs,8856,2001,Indiana Fever,ARCO Arena,Sacramento,CA,Regular season,SAC,IND
Seattle Storm,5873,2001,Utah Starzz,KeyArena,Seattle,WA,Regular season,SEA,UTA
New York Liberty,18009,2001,Cleveland Rockers,Madison Square Garden,New York,NY,Regular season,NYL,CLE
Charlotte Sting,11057,2001,Houston Comets,Spectrum Center,Charlotte,NC,Regular season,CHA,HOU
Detroit Shock,5889,2001,Portland Fire,Palace of Auburn Hills,Detroit,MI,Regular season,DET,POR
Utah Starzz,8568,2001,Indiana Fever,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,IND
Los Angeles Sparks,9493,2001,Seattle Storm,Staples Center,Los Angeles,CA,Regular season,LAS,SEA
Orlando Miracle,6334,2001,Phoenix Mercury,Amway Arena,Orlando,FL,Regular season,ORL,PHO
Miami Sol,10412,2001,Washington Mystics,AmericanAirlines Arena,Miami,FL,Regular season,MIA,WAS
Minnesota Lynx,7391,2001,Sacramento Monarchs,Target Center,Minneapolis,MN,Regular season,MIN,SAC
Washington Mystics,13619,2001,Charlotte Sting,Verizon Center,Washington,DC,Regular season,WAS,CHA
Houston Comets,13310,2001,Phoenix Mercury,Compaq Center,Houston,TX,Regular season,HOU,PHO
Los Angeles Sparks,8166,2001,Indiana Fever,Staples Center,Los Angeles,CA,Regular season,LAS,IND
Sacramento Monarchs,9094,2001,Minnesota Lynx,ARCO Arena,Sacramento,CA,Regular season,SAC,MIN
Orlando Miracle,5941,2001,Cleveland Rockers,Amway Arena,Orlando,FL,Regular season,ORL,CLE
Detroit Shock,6263,2001,Utah Starzz,Palace of Auburn Hills,Detroit,MI,Regular season,DET,UTA
Washington Mystics,16191,2001,Miami Sol,Verizon Center,Washington,DC,Regular season,WAS,MIA
Cleveland Rockers,10978,2001,Detroit Shock,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,DET
New York Liberty,17018,2001,Utah Starzz,Madison Square Garden,New York,NY,Regular season,NYL,UTA
Portland Fire,8315,2001,Minnesota Lynx,Moda Center,Portland,OR,Regular season,POR,MIN
Seattle Storm,6003,2001,Houston Comets,KeyArena,Seattle,WA,Regular season,SEA,HOU
Los Angeles Sparks,10086,2001,Phoenix Mercury,Staples Center,Los Angeles,CA,Regular season,LAS,PHO
Miami Sol,9013,2001,Indiana Fever,AmericanAirlines Arena,Miami,FL,Regular season,MIA,IND
Cleveland Rockers,13565,2001,Charlotte Sting,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,CHA
New York Liberty,17163,2001,Orlando Miracle,Madison Square Garden,New York,NY,Regular season,NYL,ORL
Detroit Shock,9064,2001,Washington Mystics,Palace of Auburn Hills,Detroit,MI,Regular season,DET,WAS
Utah Starzz,11311,2001,Phoenix Mercury,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,PHO
