team,attendance,season,opponent,arena,city,state,game_type,team_abb,opponent_abb
Washington Mystics,14004,2002,Houston Comets,Verizon Center,Washington,DC,Regular season,WAS,HOU
Charlotte Sting,4021,2002,Indiana Fever,Spectrum Center,Charlotte,NC,Regular season,CHA,IND
Minnesota Lynx,11217,2002,Portland Fire,Target Center,Minneapolis,MN,Regular season,MIN,POR
Phoenix Mercury,7358,2002,Detroit Shock,US Airways Center,Phoenix,AZ,Regular season,PHO,DET
Sacramento Monarchs,6661,2002,New York Liberty,ARCO Arena,Sacramento,CA,Regular season,SAC,NYL
Cleveland Rockers,6424,2002,Washington Mystics,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,WAS
Phoenix Mercury,8237,2002,Seattle Storm,US Airways Center,Phoenix,AZ,Regular season,PHO,SEA
Sacramento Monarchs,11658,2002,Los Angeles Sparks,ARCO Arena,Sacramento,CA,Regular season,SAC,LAS
Orlando Miracle,7215,2002,Miami Sol,Amway Arena,Orlando,FL,Regular season,ORL,MIA
Indiana Fever,7697,2002,Cleveland Rockers,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,CLE
Houston Comets,8774,2002,Minnesota Lynx,Compaq Center,Houston,TX,Regular season,HOU,MIN
Utah Starzz,5852,2002,Seattle Storm,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,SEA
Portland Fire,6995,2002,Detroit Shock,Moda Center,Portland,OR,Regular season,POR,DET
New York Liberty,13231,2002,Charlotte Sting,Madison Square Garden,New York,NY,Regular season,NYL,CHA
Washington Mystics,13130,2002,Detroit Shock,Verizon Center,Washington,DC,Regular season,WAS,DET
Miami Sol,6463,2002,Houston Comets,AmericanAirlines Arena,Miami,FL,Regular season,MIA,HOU
New York Liberty,12705,2002,Orlando Miracle,Madison Square Garden,New York,NY,Regular season,NYL,ORL
Utah Starzz,5103,2002,Indiana Fever,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,IND
Phoenix Mercury,7199,2002,Sacramento Monarchs,US Airways Center,Phoenix,AZ,Regular season,PHO,SAC
Portland Fire,6556,2002,Minnesota Lynx,Moda Center,Portland,OR,Regular season,POR,MIN
Seattle Storm,6410,2002,Los Angeles Sparks,KeyArena,Seattle,WA,Regular season,SEA,LAS
Charlotte Sting,5109,2002,Washington Mystics,Spectrum Center,Charlotte,NC,Regular season,CHA,WAS
Cleveland Rockers,5210,2002,Orlando Miracle,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,ORL
Sacramento Monarchs,7259,2002,Seattle Storm,ARCO Arena,Sacramento,CA,Regular season,SAC,SEA
Portland Fire,6465,2002,Indiana Fever,Moda Center,Portland,OR,Regular season,POR,IND
