Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
AD Durr</strong,NYL,G,18,480,18,15,480,71,152,0.467,15,51,0.294,56,101,0.554,18,22,0.818,5,29,31,10,7,21,34,175
Temi Fagbenle</strong,MIN,C,18,271,18,0,271,42,81,0.519,1,6,0.167,41,75,0.547,13,18,0.722,22,52,15,6,6,32,41,98
Jamierra Faulkner,CHI,G,13,72,13,0,72,6,18,0.333,1,9,0.111,5,9,0.556,4,8,0.5,2,4,11,2,0,5,8,17
Sylvia Fowles</strong,MIN,C,34,1003,34,34,1003,197,335,0.588,0,0,,197,335,0.588,70,99,0.707,92,302,51,32,47,68,88,464
Allisha Gray</strong,DAL,G,34,1035,34,29,1035,117,256,0.457,33,86,0.384,84,170,0.494,95,112,0.848,45,141,78,42,14,49,87,362
Chelsea Gray</strong,LAS,G,34,1108,34,34,1108,188,452,0.416,50,131,0.382,138,321,0.43,66,72,0.917,14,128,202,33,3,108,49,492
Reshanda Gray</strong,NYL,F,34,519,34,10,519,71,150,0.473,1,2,0.5,70,148,0.473,35,62,0.565,62,176,18,16,7,42,113,178
Brittney Griner</strong,PHO,C,31,1018,31,31,1018,270,479,0.564,1,3,0.333,269,476,0.565,101,125,0.808,51,222,75,22,62,76,85,642
Marie Gulich</strong,ATL,C,31,349,31,1,349,39,108,0.361,8,25,0.32,31,83,0.373,16,22,0.727,35,85,19,5,24,32,62,102
Megan Gustafson</strong,DAL,C,25,238,25,0,238,27,55,0.491,1,9,0.111,26,46,0.565,18,20,0.9,20,63,7,4,6,10,26,73
Dearica Hamby</strong,LVA,F,34,842,34,9,842,141,289,0.488,17,53,0.321,124,236,0.525,74,103,0.718,76,257,65,33,12,61,71,373
Isabelle Harrison</strong,DAL,F,31,794,31,29,794,110,241,0.456,0,6,0,110,235,0.468,48,67,0.716,72,181,42,35,25,48,80,268
Bria Hartley</strong,NYL,G,24,545,24,18,545,79,210,0.376,24,73,0.329,55,137,0.401,53,66,0.803,18,77,76,18,1,50,55,235
Tianna Hawkins</strong,WAS,F,31,477,31,1,477,113,220,0.514,33,91,0.363,80,129,0.62,37,40,0.925,47,129,23,14,4,35,77,296
Tiffany Hayes</strong,ATL,G,29,817,29,29,817,147,374,0.393,36,117,0.308,111,257,0.432,97,127,0.764,21,87,82,29,8,70,71,427
Natisha Hiedeman</strong,CON,G,20,205,20,0,205,24,58,0.414,13,28,0.464,11,30,0.367,12,24,0.5,7,30,38,8,2,13,25,73
Tayler Hill</strong,DAL,G,4,49,4,2,49,4,13,0.308,1,6,0.167,3,7,0.429,4,5,0.8,2,5,3,1,0,0,4,13
Myisha Hines-Allen</strong,WAS,F,27,211,27,0,211,25,69,0.362,6,16,0.375,19,53,0.358,7,12,0.583,25,58,24,9,11,21,32,63
Bria Holmes</strong,CON,G,34,529,34,0,529,77,193,0.399,20,63,0.317,57,130,0.438,39,58,0.672,10,49,31,16,7,30,36,213
Anriel Howard</strong,SEA,F,3,20,3,0,20,2,5,0.4,1,2,0.5,1,3,0.333,0,0,,2,3,0,1,0,2,4,5
