Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Napheesa Collier</strong,MIN,F,34,1131,34,34,33.3,4.9,10,0.49,0.9,2.4,0.361,4,7.6,0.531,2.4,3,0.792,1.8,6.6,2.6,1.9,0.9,1.9,2.9,13.1
Sydney Colson</strong,LVA,G,33,379,33,0,11.5,1.1,2.5,0.44,0.3,0.6,0.45,0.8,1.9,0.438,0.8,1,0.818,0.1,0.7,1.8,0.9,0.1,0.8,1.2,3.3
Kahleah Copper</strong,CHI,G-F,34,502,34,0,14.8,2.3,6,0.387,0.4,1.4,0.306,1.9,4.6,0.413,1.6,2.1,0.771,0.4,1.9,0.9,0.4,0.1,1.3,1.5,6.7
Sophie Cunningham</strong,PHO,G,32,389,32,5,12.2,0.9,2.5,0.354,0.4,1.4,0.304,0.4,1,0.424,0.9,1.1,0.882,0.2,1.4,0.8,0.3,0.1,0.6,1.7,3.1
Damiris Dantas</strong,MIN,F,26,667,26,26,25.7,3.4,7.9,0.432,1.6,4.1,0.393,1.8,3.8,0.475,0.7,1,0.731,1.1,4.5,3.2,0.7,0.6,1.7,2.8,9.2
Kaela Davis</strong,DAL,F,33,634,33,16,19.2,2.3,7,0.329,0.5,1.5,0.314,1.8,5.5,0.333,0.9,1,0.879,0.5,2.2,2.1,0.5,0.2,2.2,2.4,6
Elena Delle Donne</strong,WAS,F-G,31,901,31,31,29.1,7.1,13.8,0.515,1.7,3.9,0.43,5.4,9.9,0.549,3.7,3.8,0.974,1.5,8.2,2.2,0.6,1.3,1,1,19.5
Diamond DeShields</strong,CHI,G,34,1027,34,34,30.2,5.6,14.1,0.399,1.5,4.6,0.316,4.2,9.5,0.44,3.4,4.1,0.836,0.9,5.5,2.4,1.3,0.4,2.2,2.7,16.2
Blake Dietrick</strong,SEA,G,17,106,17,1,6.2,0.1,0.6,0.1,0,0.4,0,0.1,0.2,0.25,0.2,0.4,0.667,0.1,0.6,0.9,0.2,0.1,0.6,0.8,0.4
Stefanie Dolson</strong,CHI,C,34,850,34,34,25,3.6,6.9,0.519,0.9,2.4,0.361,2.7,4.4,0.607,1.3,1.4,0.898,1.2,5.6,2.2,0.6,1,1.9,3.7,9.3
Candice Dupree</strong,IND,F,34,1043,34,34,30.7,5.1,10.9,0.472,0,0.1,0,5.1,10.8,0.475,1.4,1.6,0.839,0.7,5,2.5,0.4,0.6,1.5,1,11.6
AD Durr</strong,NYL,G,18,480,18,15,26.7,3.9,8.4,0.467,0.8,2.8,0.294,3.1,5.6,0.554,1,1.2,0.818,0.3,1.6,1.7,0.6,0.4,1.2,1.9,9.7
Temi Fagbenle</strong,MIN,C,18,271,18,0,15.1,2.3,4.5,0.519,0.1,0.3,0.167,2.3,4.2,0.547,0.7,1,0.722,1.2,2.9,0.8,0.3,0.3,1.8,2.3,5.4
Jamierra Faulkner,CHI,G,13,72,13,0,5.5,0.5,1.4,0.333,0.1,0.7,0.111,0.4,0.7,0.556,0.3,0.6,0.5,0.2,0.3,0.8,0.2,0,0.4,0.6,1.3
Sylvia Fowles</strong,MIN,C,34,1003,34,34,29.5,5.8,9.9,0.588,0,0,,5.8,9.9,0.588,2.1,2.9,0.707,2.7,8.9,1.5,0.9,1.4,2,2.6,13.6
Allisha Gray</strong,DAL,G,34,1035,34,29,30.4,3.4,7.5,0.457,1,2.5,0.384,2.5,5,0.494,2.8,3.3,0.848,1.3,4.1,2.3,1.2,0.4,1.4,2.6,10.6
Chelsea Gray</strong,LAS,G,34,1108,34,34,32.6,5.5,13.3,0.416,1.5,3.9,0.382,4.1,9.4,0.43,1.9,2.1,0.917,0.4,3.8,5.9,1,0.1,3.2,1.4,14.5
Reshanda Gray</strong,NYL,F,34,519,34,10,15.3,2.1,4.4,0.473,0,0.1,0.5,2.1,4.4,0.473,1,1.8,0.565,1.8,5.2,0.5,0.5,0.2,1.2,3.3,5.2
Brittney Griner</strong,PHO,C,31,1018,31,31,32.8,8.7,15.5,0.564,0,0.1,0.333,8.7,15.4,0.565,3.3,4,0.808,1.6,7.2,2.4,0.7,2,2.5,2.7,20.7
Marie Gulich</strong,ATL,C,31,349,31,1,11.3,1.3,3.5,0.361,0.3,0.8,0.32,1,2.7,0.373,0.5,0.7,0.727,1.1,2.7,0.6,0.2,0.8,1,2,3.3
Megan Gustafson</strong,DAL,C,25,238,25,0,9.5,1.1,2.2,0.491,0,0.4,0.111,1,1.8,0.565,0.7,0.8,0.9,0.8,2.5,0.3,0.2,0.2,0.4,1,2.9
Dearica Hamby</strong,LVA,F,34,842,34,9,24.8,4.1,8.5,0.488,0.5,1.6,0.321,3.6,6.9,0.525,2.2,3,0.718,2.2,7.6,1.9,1,0.4,1.8,2.1,11
Isabelle Harrison</strong,DAL,F,31,794,31,29,25.6,3.5,7.8,0.456,0,0.2,0,3.5,7.6,0.468,1.5,2.2,0.716,2.3,5.8,1.4,1.1,0.8,1.5,2.6,8.6
Bria Hartley</strong,NYL,G,24,545,24,18,22.7,3.3,8.8,0.376,1,3,0.329,2.3,5.7,0.401,2.2,2.8,0.803,0.8,3.2,3.2,0.8,0,2.1,2.3,9.8
Tianna Hawkins</strong,WAS,F,31,477,31,1,15.4,3.6,7.1,0.514,1.1,2.9,0.363,2.6,4.2,0.62,1.2,1.3,0.925,1.5,4.2,0.7,0.5,0.1,1.1,2.5,9.5
Tiffany Hayes</strong,ATL,G,29,817,29,29,28.2,5.1,12.9,0.393,1.2,4,0.308,3.8,8.9,0.432,3.3,4.4,0.764,0.7,3,2.8,1,0.3,2.4,2.4,14.7
Natisha Hiedeman</strong,CON,G,20,205,20,0,10.3,1.2,2.9,0.414,0.7,1.4,0.464,0.6,1.5,0.367,0.6,1.2,0.5,0.4,1.5,1.9,0.4,0.1,0.7,1.3,3.7
Tayler Hill</strong,DAL,G,4,49,4,2,12.3,1,3.3,0.308,0.3,1.5,0.167,0.8,1.8,0.429,1,1.3,0.8,0.5,1.3,0.8,0.3,0,0,1,3.3
Myisha Hines-Allen</strong,WAS,F,27,211,27,0,7.8,0.9,2.6,0.362,0.2,0.6,0.375,0.7,2,0.358,0.3,0.4,0.583,0.9,2.1,0.9,0.3,0.4,0.8,1.2,2.3
Bria Holmes</strong,CON,G,34,529,34,0,15.6,2.3,5.7,0.399,0.6,1.9,0.317,1.7,3.8,0.438,1.1,1.7,0.672,0.3,1.4,0.9,0.5,0.2,0.9,1.1,6.3
Anriel Howard</strong,SEA,F,3,20,3,0,6.7,0.7,1.7,0.4,0.3,0.7,0.5,0.3,1,0.333,0,0,,0.7,1,0,0.3,0,0.7,1.3,1.7
Natasha Howard</strong,SEA,F,34,1066,34,34,31.4,6.7,15.2,0.439,0.9,3.1,0.308,5.7,12.1,0.472,3.8,4.6,0.81,2.7,8.2,2.1,2.2,1.7,2.9,2.9,18.1
Chloe Jackson</strong,CHI,G,8,32,8,0,4,0.3,1.1,0.222,0,0,,0.3,1.1,0.222,0.1,0.8,0.167,0.4,0.8,0.5,0.6,0,0.8,0.1,0.6
Briann January</strong,PHO,G,32,852,32,26,26.6,2.2,5.7,0.39,1,2.6,0.378,1.3,3.1,0.4,1.1,1.3,0.837,0.2,1.3,3.2,0.8,0.1,1.7,2.1,6.5
Marine Johannes</strong,NYL,G,19,345,19,0,18.2,2.5,5.8,0.436,1.3,3.5,0.379,1.2,2.3,0.523,0.8,1,0.789,0.5,1.8,2.4,0.4,0.2,1.2,1.6,7.2
Glory Johnson</strong,DAL,F,28,676,28,19,24.1,2.8,7.6,0.364,1.3,3.7,0.34,1.5,4,0.387,0.5,0.9,0.583,1,5.1,1.4,1.4,0.6,1,1.6,7.3
Shenise Johnson</strong,IND,G,17,219,17,0,12.9,1.8,5.3,0.333,0.5,1.9,0.242,1.3,3.4,0.386,0.9,0.9,0.938,0.6,2.1,1.1,0.7,0.1,0.7,1,4.9
Alexis Jones</strong,LAS,G,20,243,20,1,12.2,1.4,3.5,0.4,0.6,1.7,0.333,0.9,1.9,0.459,0.6,0.8,0.8,0.1,1.1,1.8,0.3,0.2,1.4,1.5,4
Brionna Jones</strong,CON,F,27,227,27,0,8.4,1.3,2.8,0.467,0,0,0,1.3,2.7,0.473,0.9,1.3,0.667,1.4,2.2,0.3,0.3,0.3,0.7,1.3,3.5
Jonquel Jones</strong,CON,F,34,980,34,34,28.8,5.1,11.4,0.448,1.3,4.1,0.309,3.8,7.3,0.526,3.2,3.9,0.818,3.3,9.7,1.5,1.3,2,1.9,2.8,14.6
Paris Kea</strong,IND,G,11,60,11,0,5.5,1,2.5,0.407,0.5,0.8,0.556,0.5,1.6,0.333,0.2,0.4,0.5,0.1,0.5,0.5,0.1,0.2,0.8,0.4,2.6
Betnijah Laney</strong,IND,G-F,34,877,34,27,25.8,2.3,6.3,0.362,0.6,1.9,0.303,1.7,4.3,0.388,0.5,0.9,0.581,0.9,4.2,1.7,1.4,0.1,1.4,1.6,5.6
Crystal Langhorne,SEA,F-C,34,577,34,4,17,2.1,5,0.409,0.5,1.7,0.316,1.5,3.4,0.456,1,1.3,0.75,0.8,3.1,1,0.3,0.3,1.3,1,5.6
Jantel Lavender</strong,CHI,F,23,619,23,22,26.9,4.5,9.1,0.49,0.3,1.2,0.222,4.2,8,0.53,0.8,0.9,0.905,2,6.9,1.1,0.3,0.6,1.4,1.5,10
Camille Little,PHO,F,29,425,29,0,14.7,1.4,3.2,0.435,0.2,0.7,0.333,1.1,2.4,0.465,0.9,1.1,0.806,0.7,2.4,0.8,0.4,0.3,0.9,1.8,3.9
Jewell Loyd</strong,SEA,G,27,686,27,21,25.4,4.3,11.1,0.391,1.3,3.7,0.337,3.1,7.3,0.419,2.4,2.6,0.928,0.4,2.7,2,1.3,0.1,1.9,1.2,12.3
Sancho Lyttle,PHO,F,20,250,20,2,12.5,1.3,3.1,0.419,0.1,0.2,0.25,1.3,2.9,0.431,0.3,0.4,0.625,0.7,2.9,0.3,0.6,0.3,0.6,1.4,2.9
Marina Mabrey</strong,LAS,G,31,355,31,0,11.5,1.5,4.2,0.344,0.7,2.5,0.273,0.8,1.7,0.444,0.5,0.5,0.875,0.2,1.2,1,0.6,0.2,0.8,0.7,4
Victoria Macaulay</strong,CHI,C,5,22,5,0,4.4,0.4,1,0.4,0,0,,0.4,1,0.4,0.4,0.4,1,0.2,0.8,0,0.4,0.2,0,0.6,1.2
Stephanie Mavunga</strong,IND,F,24,204,24,0,8.5,1,2,0.511,0,0,0,1,1.9,0.522,0.5,0.7,0.706,0.9,2.3,0.2,0.3,0.3,0.4,1.6,2.5
Kayla McBride</strong,LVA,G,34,990,34,34,29.1,4.5,10.5,0.425,1.8,4.3,0.428,2.6,6.3,0.423,2.6,2.8,0.906,0.6,4.1,2.6,1.2,0.1,1.7,1.4,13.3
Erica McCall</strong,IND,F,15,104,15,0,6.9,0.2,1.5,0.136,0,0,,0.2,1.5,0.136,0.5,0.5,1,0.7,1.8,0.4,0.1,0.4,0.2,0.9,0.9
Brooke McCarty-Williams</strong,DAL,G,34,447,34,3,13.1,0.8,2.6,0.289,0.5,1.5,0.36,0.2,1.2,0.2,0.3,0.4,0.917,0.3,1.3,1.9,0.5,0,0.9,1.2,2.4
Angel McCoughtry</strong,ATL,F-G,1,0,1,1,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0
Teaira McCowan</strong,IND,C,34,752,34,16,22.1,3.5,6.8,0.517,0,0,,3.5,6.8,0.517,3,4.4,0.687,3.2,9,0.2,0.6,1.3,1.3,3.2,10
Emma Meesseman</strong,WAS,F,23,543,23,6,23.6,5.3,9.6,0.552,0.8,2,0.422,4.5,7.7,0.585,1.7,1.8,0.905,1.2,4.2,3.2,0.9,0.7,1,1.8,13.1
Kim Mestdagh</strong,WAS,G,15,71,15,0,4.7,0.5,1.2,0.389,0.4,1,0.4,0.1,0.2,0.333,0.1,0.1,1,0.1,0.3,0.4,0.1,0,0.4,0.3,1.5
Kelsey Mitchell</strong,IND,G,34,852,34,20,25.1,4.9,12.7,0.387,2.3,6.2,0.374,2.6,6.5,0.398,1.5,1.8,0.836,0.1,1.6,2.6,0.4,0.1,1.7,1.7,13.6
Leilani Mitchell</strong,PHO,G,32,971,32,27,30.3,4.2,9.5,0.441,2.3,5.4,0.43,1.9,4.1,0.455,2.1,2.6,0.829,0.5,3,4,0.9,0.3,1.8,2.4,12.8
Tiffany Mitchell</strong,IND,G,33,831,33,14,25.2,3.3,8.7,0.381,0.6,2.1,0.29,2.7,6.6,0.41,2.5,2.8,0.892,0.7,2.9,2.2,0.6,0.1,1.7,2.5,9.7
Renee Montgomery,ATL,G,34,949,34,34,27.9,3.1,8.5,0.37,2,6.2,0.324,1.1,2.3,0.494,1.2,1.5,0.824,0.3,2.2,2.6,0.9,0.2,1.9,1.5,9.5
Kaleena Mosqueda-Lewis</strong,SEA,F,31,435,31,4,14,2.1,5.3,0.399,0.9,2.6,0.341,1.2,2.6,0.457,0.5,0.5,1,0.3,1.2,0.5,0.3,0.2,1.2,1.3,5.5
Jaime Nared</strong,LVA,G-F,1,1,1,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0
Astou Ndour</strong,CHI,C-F,21,368,21,11,17.5,2.8,5.6,0.492,0.7,1.6,0.424,2.1,4,0.518,0.6,0.9,0.722,1.4,4.2,0.7,0.5,0.7,0.7,1.7,6.8
