Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Yvonne Turner</strong,PHO,G,29,595,29,14,20.5,2,5.9,0.343,0.9,2.7,0.329,1.1,3.2,0.355,1.5,1.7,0.878,0.3,2.8,2.3,0.6,0.1,2,1.3,6.4
Maria Vadeeva</strong,LAS,C,15,180,15,1,12,3.4,6.9,0.49,0.3,1.1,0.313,3.1,5.9,0.523,0.7,0.9,0.769,1.2,3.9,0.7,1,0.2,1.2,1.5,7.8
Courtney Vandersloot</strong,CHI,G,33,991,33,33,30,4.1,9.1,0.452,0.9,3.2,0.29,3.2,5.8,0.542,2.1,2.4,0.85,0.6,4.3,9.1,1.4,0.5,2.9,1.5,11.2
Ashley Walker</strong,LAS,F-C,3,22,3,0,7.3,0.3,3.7,0.091,0,1.7,0,0.3,2,0.167,0,0,,0.7,1,1,0.3,0,0,1.3,0.7
Shatori Walker-Kimbrough</strong,WAS,G,34,580,34,1,17.1,2.2,5.2,0.432,0.6,2.1,0.31,1.6,3.1,0.514,1.6,1.7,0.93,0.5,1.6,1.2,0.8,0.2,1,1.2,6.7
Avery Warley-Talbert</strong,NYL,C,3,35,3,0,11.7,0.3,1.7,0.2,0,0,,0.3,1.7,0.2,0.3,0.7,0.5,1,2.3,0,0,0.7,1.3,2.3,1
Erica Wheeler</strong,IND,G,34,850,34,34,25,3.7,8.8,0.426,1.4,3.7,0.384,2.3,5.1,0.457,1.2,1.4,0.872,0.1,3,5,1.2,0.1,2.9,2.2,10.1
Sami Whitcomb</strong,SEA,G,33,674,33,13,20.4,2.5,6.8,0.366,1.9,5.6,0.342,0.6,1.2,0.475,0.3,0.3,1,0.5,1.7,2.4,1.1,0.1,1.6,1.5,7.2
Sydney Wiese</strong,LAS,G,32,659,32,16,20.6,1.7,4.5,0.385,1.1,2.9,0.366,0.7,1.6,0.42,0.3,0.3,1,0.2,1.3,1.8,0.5,0.3,1,0.8,4.8
Courtney Williams</strong,CON,G,34,988,34,34,29.1,5.5,12.6,0.435,0.5,1,0.457,5,11.6,0.433,1.8,2.2,0.8,1.4,5.6,3.8,1.4,0.4,1.6,1.4,13.2
Elizabeth Williams</strong,ATL,C-F,32,909,32,32,28.4,3.3,7.3,0.455,0,0,,3.3,7.3,0.455,2.6,3.5,0.732,3.1,6.5,1.2,0.8,1.7,1.3,2.2,9.3
Gabby Williams</strong,CHI,F,33,527,33,2,16,2.3,5.5,0.414,0.2,1.2,0.171,2.1,4.2,0.486,0.9,1.2,0.725,0.4,2.2,2.1,0.7,0.2,1.7,1.2,5.6
Riquna Williams</strong,LAS,G,23,593,23,14,25.8,4,10.5,0.384,2.3,6,0.391,1.7,4.5,0.375,1.9,2.2,0.88,0.6,2.6,1.6,1.1,0.2,1.2,2.5,12.3
A'ja Wilson</strong,LVA,F,26,740,26,25,28.5,6.1,12.7,0.479,0,0,0,6.1,12.7,0.48,4.4,5.5,0.792,1.7,6.5,1.8,0.5,1.7,2.2,2,16.5
Tanisha Wright,NYL,G,31,613,31,17,19.8,1.7,4.2,0.415,0.5,1.2,0.368,1.3,3,0.435,0.8,1,0.806,0.7,2.8,4.1,1,0.3,1.8,2.2,4.7
Han Xu</strong,NYL,C,18,143,18,0,7.9,1.3,3.2,0.414,0.3,0.6,0.5,1.1,2.7,0.396,0.1,0.1,0.5,0.1,0.8,0.1,0.2,0.2,0.1,0.3,3
Jackie Young</strong,LVA,G,34,767,34,34,22.6,2.2,6.9,0.322,0.4,1.3,0.318,1.8,5.6,0.323,1.7,2.1,0.808,0.7,3.3,4.5,0.8,0.4,1.6,1.4,6.6
Tamera Young</strong,LVA,F,34,628,34,4,18.5,2,5.3,0.38,0.1,0.5,0.313,1.9,4.8,0.387,1.1,1.8,0.639,1,3.6,2,0.7,0.1,1.4,1.8,5.3
Amanda Zahui B.</strong,NYL,C,24,558,24,23,23.3,3.4,7.2,0.468,0.9,2.9,0.319,2.5,4.3,0.567,1,1.1,0.852,1.1,6.3,0.9,1.1,1.4,1.3,3.3,8.6
Shavonte Zellous</strong,SEA,G,31,432,31,4,13.9,1.4,3.7,0.379,0.2,1,0.188,1.2,2.7,0.452,1,1.3,0.75,0.2,1.5,1.5,0.3,0.2,1.1,1.4,4
Kristine Anigwe</strong,TOT,F-C,27,250,27,0,9.3,0.8,2.5,0.324,0,0,,0.8,2.5,0.324,0.8,1.2,0.688,1,2.4,0.2,0.3,0.3,0.6,1.4,2.4
Bridget Carleton</strong,TOT,F,8,40,8,0,5,0.1,1,0.125,0.1,0.5,0.25,0,0.5,0,0,0,,0.1,0.5,0.1,0,0,0.1,0.3,0.4
Alaina Coates</strong,TOT,C,23,167,23,0,7.3,1,2,0.533,0,0,,1,2,0.533,0.5,0.9,0.571,0.9,2.6,0.1,0.2,0.5,0.4,1.6,2.6
Theresa Plaisance</strong,TOT,F,31,442,31,12,14.3,1.7,4.7,0.37,0.8,2.4,0.342,0.9,2.4,0.397,0.7,0.8,0.808,0.8,3.6,1.1,0.3,0.6,1,2.1,5
Karlie Samuelson</strong,TOT,F,7,84,7,0,12,0.4,2,0.214,0.4,1.7,0.25,0,0.3,0,0,0,,0.1,0.6,0.7,0.4,0.1,0,1.1,1.3
Asia Taylor</strong,TOT,F,12,96,12,0,8,0.8,2.3,0.357,0,0.2,0,0.8,2.2,0.385,0.5,0.7,0.75,0.7,1.8,0.7,0.2,0.1,0.6,0.8,2.2
Kristine Anigwe</strong,CON,F-C,17,121,17,0,7.1,0.6,2.1,0.314,0,0,,0.6,2.1,0.314,0.7,1,0.706,0.8,1.8,0.2,0.4,0.2,0.6,1,2
Bridget Carleton</strong,CON,F,4,29,4,0,7.3,0,1.5,0,0,0.5,0,0,1,0,0,0,,0.3,0.8,0.3,0,0,0.3,0.5,0
Alaina Coates</strong,MIN,C,14,92,14,0,6.6,1.1,2.2,0.484,0,0,,1.1,2.2,0.484,0.4,0.6,0.625,0.9,2.4,0.1,0.2,0.4,0.4,1.2,2.5
Theresa Plaisance</strong,DAL,F,22,378,22,12,17.2,2.1,5.6,0.374,1,3,0.343,1,2.5,0.411,0.8,1,0.773,1,4.4,1.5,0.3,0.8,1.4,2.4,6
Karlie Samuelson</strong,LAS,F,3,36,3,0,12,0.3,2.3,0.143,0.3,2,0.167,0,0.3,0,0,0,,0,0.7,1,0,0,0,0.7,1
Asia Taylor</strong,MIN,F,8,65,8,0,8.1,1.3,2.8,0.455,0,0.1,0,1.3,2.6,0.476,0.6,0.8,0.833,0.5,1.8,0.9,0.1,0.1,0.6,0.8,3.1
Kristine Anigwe</strong,DAL,F-C,10,129,10,0,12.9,1.1,3.3,0.333,0,0,,1.1,3.3,0.333,1,1.5,0.667,1.4,3.6,0.3,0.3,0.4,0.7,2.2,3.2
Bridget Carleton</strong,MIN,F,4,11,4,0,2.8,0.3,0.5,0.5,0.3,0.5,0.5,0,0,,0,0,,0,0.3,0,0,0,0,0,0.8
Alaina Coates</strong,ATL,C,9,75,9,0,8.3,1,1.6,0.643,0,0,,1,1.6,0.643,0.8,1.4,0.538,0.9,3,0.1,0.2,0.7,0.4,2.2,2.8
Theresa Plaisance</strong,CON,F,9,64,9,0,7.1,0.9,2.6,0.348,0.2,0.7,0.333,0.7,1.9,0.353,0.4,0.4,1,0.3,1.8,0,0.3,0.2,0.1,1.3,2.4
Karlie Samuelson</strong,DAL,F,4,48,4,0,12,0.5,1.8,0.286,0.5,1.5,0.333,0,0.3,0,0,0,,0.3,0.5,0.5,0.8,0.3,0,1.5,1.5
Asia Taylor</strong,PHO,F,4,31,4,0,7.8,0,1.5,0,0,0.3,0,0,1.3,0,0.3,0.5,0.5,1,1.8,0.3,0.3,0,0.5,1,0.3
